#conflict,#confvar,#multiconf,#fold,#multifold
 114000,-2.13458,-2.24635,-2.20804,-2.35705
 115000,-2.13342,-2.24434,-2.20699,-2.35492
 116000,-2.13289,-2.24330,-2.20655,-2.35389
 117000,-2.13194,-2.24168,-2.20599,-2.35273
 118000,-2.13117,-2.23995,-2.20497,-2.35050
 119000,-2.12714,-2.23606,-2.20083,-2.34601
 120000,-2.12428,-2.23305,-2.19875,-2.34253
 121000,-2.11951,-2.22891,-2.19411,-2.33775
 122000,-2.11657,-2.22502,-2.19178,-2.33422
 123000,-2.11459,-2.22188,-2.18962,-2.33016
 124000,-2.11292,-2.21938,-2.18798,-2.32724
 125000,-2.11112,-2.21673,-2.18668,-2.32519
 126000,-2.10985,-2.21501,-2.18573,-2.32379
 127000,-2.10873,-2.21338,-2.18526,-2.32275
 128000,-2.10732,-2.21077,-2.18446,-2.32107
 129000,-2.10666,-2.20940,-2.18378,-2.32000
 130000,-2.10415,-2.20566,-2.18059,-2.31661
 131000,-2.10177,-2.20233,-2.17817,-2.31330
 132000,-2.09997,-2.19980,-2.17643,-2.31109
 133000,-2.09825,-2.19786,-2.17508,-2.30959
 134000,-2.09720,-2.19686,-2.17411,-2.30841
 135000,-2.09603,-2.19519,-2.17298,-2.30738
 136000,-2.09493,-2.19392,-2.17187,-2.30631
 137000,-2.09082,-2.19153,-2.16852,-2.30422
 138000,-2.08863,-2.18939,-2.16649,-2.30142
 139000,-2.08622,-2.18613,-2.16428,-2.29897
 140000,-2.08490,-2.18372,-2.16257,-2.29639
 141000,-2.08365,-2.18153,-2.16139,-2.29413
 142000,-2.08271,-2.17965,-2.16035,-2.29272
 143000,-2.08113,-2.17771,-2.15848,-2.29045
 144000,-2.07890,-2.17533,-2.15616,-2.28755
 145000,-2.07745,-2.17333,-2.15477,-2.28594
 146000,-2.07429,-2.16919,-2.15124,-2.28201
 147000,-2.07204,-2.16620,-2.14915,-2.27914
 148000,-2.07029,-2.16360,-2.14766,-2.27665
 149000,-2.06940,-2.16199,-2.14674,-2.27493
 150000,-2.06711,-2.15927,-2.14431,-2.27175
