conflict,value,kind
   2500,      20,"l-restart"
   2500,       0,"g-restart"
   2500,     716,"l-folding"
   2500,     716,"g-folding"
   2500,    1061,"solved"
   5000,     155,"l-restart"
   5000,       0,"g-restart"
   5000,    1522,"l-folding"
   5000,    1522,"g-folding"
   5000,    1063,"solved"
   7500,     391,"l-restart"
   7500,       0,"g-restart"
   7500,    2050,"l-folding"
   7500,    2050,"g-folding"
   7500,    1063,"solved"
  10000,     440,"l-restart"
  10000,       0,"g-restart"
  10000,    2504,"l-folding"
  10000,    2504,"g-folding"
  10000,    1063,"solved"
  12500,     456,"l-restart"
  12500,       0,"g-restart"
  12500,    2718,"l-folding"
  12500,    2718,"g-folding"
  12500,    1063,"solved"
  15000,     554,"l-restart"
  15000,       0,"g-restart"
  15000,    3039,"l-folding"
  15000,    3039,"g-folding"
  15000,    1063,"solved"
  17500,     568,"l-restart"
  17500,       0,"g-restart"
  17500,    3262,"l-folding"
  17500,    3262,"g-folding"
  17500,    1063,"solved"
  20000,     626,"l-restart"
  20000,       0,"g-restart"
  20000,    3501,"l-folding"
  20000,    3501,"g-folding"
  20000,    1063,"solved"
  22500,     633,"l-restart"
  22500,       0,"g-restart"
  22500,    3695,"l-folding"
  22500,    3695,"g-folding"
  22500,    1063,"solved"
  25000,       0,"l-restart"
  25000,       1,"g-restart"
  25000,     313,"l-folding"
  25000,    3953,"g-folding"
  25000,    1063,"solved"
  27500,       0,"l-restart"
  27500,       1,"g-restart"
  27500,     977,"l-folding"
  27500,    4284,"g-folding"
  27500,    1063,"solved"
  30000,       0,"l-restart"
  30000,       1,"g-restart"
  30000,    1540,"l-folding"
  30000,    4640,"g-folding"
  30000,    1063,"solved"
  32500,      73,"l-restart"
  32500,       1,"g-restart"
  32500,    2015,"l-folding"
  32500,    4954,"g-folding"
  32500,    1063,"solved"
  35000,     129,"l-restart"
  35000,       1,"g-restart"
  35000,    2453,"l-folding"
  35000,    5279,"g-folding"
  35000,    1063,"solved"
  37500,     129,"l-restart"
  37500,       1,"g-restart"
  37500,    2791,"l-folding"
  37500,    5518,"g-folding"
  37500,    1066,"solved"
  40000,     129,"l-restart"
  40000,       1,"g-restart"
  40000,    2966,"l-folding"
  40000,    5634,"g-folding"
  40000,    1066,"solved"
  42500,     129,"l-restart"
  42500,       1,"g-restart"
  42500,    3042,"l-folding"
