conflict,value,kind
  42500,    5691,"g-folding"
  42500,    1066,"solved"
  45000,       1,"l-restart"
  45000,       2,"g-restart"
  45000,     673,"l-folding"
  45000,    5995,"g-folding"
  45000,    1069,"solved"
  47500,      43,"l-restart"
  47500,       2,"g-restart"
  47500,    1164,"l-folding"
  47500,    6273,"g-folding"
  47500,    1069,"solved"
  50000,     109,"l-restart"
  50000,       2,"g-restart"
  50000,    1582,"l-folding"
  50000,    6516,"g-folding"
  50000,    1069,"solved"
  52500,     110,"l-restart"
  52500,       2,"g-restart"
  52500,    1904,"l-folding"
  52500,    6726,"g-folding"
  52500,    1069,"solved"
  55000,     180,"l-restart"
  55000,       2,"g-restart"
  55000,    2182,"l-folding"
  55000,    6930,"g-folding"
  55000,    1069,"solved"
  57500,     226,"l-restart"
  57500,       2,"g-restart"
  57500,    2314,"l-folding"
  57500,    7030,"g-folding"
  57500,    1069,"solved"
  60000,     252,"l-restart"
  60000,       2,"g-restart"
  60000,    2451,"l-folding"
  60000,    7144,"g-folding"
  60000,    1069,"solved"
  62500,      26,"l-restart"
  62500,       3,"g-restart"
  62500,     485,"l-folding"
  62500,    7327,"g-folding"
  62500,    1069,"solved"
  65000,      44,"l-restart"
  65000,       3,"g-restart"
  65000,     768,"l-folding"
  65000,    7458,"g-folding"
  65000,    1069,"solved"
  67500,      85,"l-restart"
  67500,       3,"g-restart"
  67500,    1073,"l-folding"
  67500,    7597,"g-folding"
  67500,    1069,"solved"
  70000,     126,"l-restart"
  70000,       3,"g-restart"
  70000,    1300,"l-folding"
  70000,    7730,"g-folding"
  70000,    1069,"solved"
  72500,     126,"l-restart"
  72500,       3,"g-restart"
  72500,    1397,"l-folding"
  72500,    7786,"g-folding"
  72500,    1069,"solved"
  75000,     147,"l-restart"
  75000,       3,"g-restart"
  75000,    1670,"l-folding"
  75000,    7925,"g-folding"
  75000,    1069,"solved"
  77500,     163,"l-restart"
  77500,       3,"g-restart"
  77500,    1770,"l-folding"
  77500,    7984,"g-folding"
  77500,    1069,"solved"
  80000,      37,"l-restart"
  80000,       4,"g-restart"
  80000,     438,"l-folding"
  80000,    8104,"g-folding"
  80000,    1069,"solved"
  82500,      41,"l-restart"
  82500,       4,"g-restart"
  82500,     922,"l-folding"
  82500,    8249,"g-folding"
  82500,    1069,"solved"
  85000,     131,"l-restart"
  85000,       4,"g-restart"
  85000,    1408,"l-folding"
  85000,    8455,"g-folding"
  85000,    1069,"solved"
  87500,     229,"l-restart"
  87500,       4,"g-restart"
  87500,    1723,"l-folding"
  87500,    8593,"g-folding"
  87500,    1069,"solved"
  90000,     355,"l-restart"
  90000,       4,"g-restart"
  90000,    2052,"l-folding"
  90000,    8754,"g-folding"
  90000,    1069,"solved"
  92500,     548,"l-restart"
  92500,       4,"g-restart"
  92500,    2291,"l-folding"
  92500,    8888,"g-folding"
  92500,    1069,"solved"
  95000,     577,"l-restart"
  95000,       4,"g-restart"
  95000,    2439,"l-folding"
  95000,    8977,"g-folding"
  95000,    1069,"solved"
  97500,     661,"l-restart"
  97500,       4,"g-restart"
  97500,    2572,"l-folding"
  97500,    9063,"g-folding"
  97500,    1069,"solved"
 100000,     131,"l-restart"
 100000,       5,"g-restart"
 100000,     577,"l-folding"
 100000,    9128,"g-folding"
 100000,    1069,"solved"
 102500,     131,"l-restart"
 102500,       5,"g-restart"
 102500,     940,"l-folding"
 102500,    9223,"g-folding"
 102500,    1069,"solved"
 105000,     131,"l-restart"
 105000,       5,"g-restart"
 105000,    1154,"l-folding"
 105000,    9328,"g-folding"
 105000,    1072,"solved"
