conflict,value,kind
 100000,    2893,"l-folding"
 100000,    5980,"g-folding"
 100000,    1085,"solved"
 102500,      55,"l-restart"
 102500,       3,"g-restart"
 102500,    3329,"l-folding"
 102500,    6349,"g-folding"
 102500,    1088,"solved"
 105000,      56,"l-restart"
 105000,       3,"g-restart"
 105000,    3698,"l-folding"
 105000,    6635,"g-folding"
 105000,    1088,"solved"
 107500,      57,"l-restart"
 107500,       3,"g-restart"
 107500,    4119,"l-folding"
 107500,    6937,"g-folding"
 107500,    1088,"solved"
 110000,      64,"l-restart"
 110000,       3,"g-restart"
 110000,    4427,"l-folding"
 110000,    7189,"g-folding"
 110000,    1088,"solved"
 112500,      66,"l-restart"
 112500,       3,"g-restart"
 112500,    4681,"l-folding"
 112500,    7406,"g-folding"
 112500,    1088,"solved"
 115000,      66,"l-restart"
 115000,       3,"g-restart"
 115000,    4979,"l-folding"
 115000,    7675,"g-folding"
 115000,    1088,"solved"
 117500,      70,"l-restart"
 117500,       3,"g-restart"
 117500,    5255,"l-folding"
 117500,    7899,"g-folding"
 117500,    1088,"solved"
 120000,      70,"l-restart"
 120000,       3,"g-restart"
 120000,    5552,"l-folding"
 120000,    8118,"g-folding"
 120000,    1088,"solved"
 122500,      70,"l-restart"
 122500,       3,"g-restart"
 122500,    5906,"l-folding"
 122500,    8377,"g-folding"
 122500,    1093,"solved"
 125000,      71,"l-restart"
 125000,       3,"g-restart"
 125000,    6207,"l-folding"
 125000,    8599,"g-folding"
 125000,    1093,"solved"
 127500,      72,"l-restart"
 127500,       3,"g-restart"
 127500,    6505,"l-folding"
 127500,    8766,"g-folding"
 127500,    1093,"solved"
 130000,      73,"l-restart"
 130000,       3,"g-restart"
 130000,    6761,"l-folding"
 130000,    8921,"g-folding"
 130000,    1093,"solved"
 132500,      73,"l-restart"
 132500,       3,"g-restart"
 132500,    6969,"l-folding"
 132500,    9036,"g-folding"
 132500,    1093,"solved"
