conflict,value,kind
 100000,    3578,"g-folding"
 100000,    1073,"solved"
 102500,      45,"l-restart"
 102500,       4,"g-restart"
 102500,    1232,"l-folding"
 102500,    3617,"g-folding"
 102500,    1073,"solved"
 105000,      45,"l-restart"
 105000,       4,"g-restart"
 105000,    1301,"l-folding"
 105000,    3636,"g-folding"
 105000,    1073,"solved"
 107500,      45,"l-restart"
 107500,       4,"g-restart"
 107500,    1344,"l-folding"
 107500,    3647,"g-folding"
 107500,    1073,"solved"
 110000,      46,"l-restart"
 110000,       4,"g-restart"
 110000,    1410,"l-folding"
 110000,    3668,"g-folding"
 110000,    1073,"solved"
 112500,      46,"l-restart"
 112500,       4,"g-restart"
 112500,    1451,"l-folding"
 112500,    3686,"g-folding"
 112500,    1073,"solved"
 115000,      46,"l-restart"
 115000,       4,"g-restart"
 115000,    1508,"l-folding"
 115000,    3710,"g-folding"
 115000,    1073,"solved"
 117500,      46,"l-restart"
 117500,       4,"g-restart"
 117500,    1581,"l-folding"
 117500,    3746,"g-folding"
 117500,    1073,"solved"
 120000,      46,"l-restart"
 120000,       4,"g-restart"
 120000,    1626,"l-folding"
 120000,    3769,"g-folding"
 120000,    1073,"solved"
 122500,      46,"l-restart"
 122500,       4,"g-restart"
 122500,    1648,"l-folding"
 122500,    3786,"g-folding"
 122500,    1073,"solved"
 125000,      46,"l-restart"
 125000,       4,"g-restart"
 125000,    1684,"l-folding"
 125000,    3806,"g-folding"
 125000,    1073,"solved"
 127500,      46,"l-restart"
 127500,       4,"g-restart"
 127500,    1732,"l-folding"
 127500,    3825,"g-folding"
 127500,    1073,"solved"
 130000,      46,"l-restart"
 130000,       4,"g-restart"
 130000,    1766,"l-folding"
 130000,    3834,"g-folding"
 130000,    1073,"solved"
 132500,      46,"l-restart"
 132500,       4,"g-restart"
 132500,    1782,"l-folding"
 132500,    3841,"g-folding"
 132500,    1073,"solved"
 135000,      46,"l-restart"
 135000,       4,"g-restart"
 135000,    1801,"l-folding"
 135000,    3850,"g-folding"
 135000,    1073,"solved"
 137500,      46,"l-restart"
 137500,       4,"g-restart"
 137500,    1833,"l-folding"
 137500,    3865,"g-folding"
 137500,    1073,"solved"
 140000,      14,"l-restart"
 140000,       5,"g-restart"
 140000,     418,"l-folding"
 140000,    3882,"g-folding"
 140000,    1073,"solved"
